subject_id,model,condition,temperature,det_rate,fa_rate
Opus_c0_neutral_t0_2026-06-10T07:26:36.577Z,Opus,c0_neutral,0,0.8181818181818182,0.05454545454545454
Opus_c0_neutral_t0_2026-06-10T07:28:47.548Z,Opus,c0_neutral,0,0.8181818181818182,0.048484848484848485
Opus_c0_neutral_t0_2026-06-10T07:29:58.508Z,Opus,c0_neutral,0,0.8181818181818182,0.0303030303030303
Opus_c0_neutral_t0_2026-06-10T07:31:05.176Z,Opus,c0_neutral,0,0.8181818181818182,0.05454545454545454
Opus_c0_neutral_t0_2026-06-10T07:32:11.531Z,Opus,c0_neutral,0,0.8181818181818182,0.05454545454545454
Opus_c0_neutral_t0_2026-06-10T07:33:15.931Z,Opus,c0_neutral,0,0.8181818181818182,0.0303030303030303
Opus_c0_neutral_t0_2026-06-10T07:34:30.313Z,Opus,c0_neutral,0,0.8181818181818182,0.03636363636363636
Opus_c0_neutral_t0_2026-06-10T07:35:39.126Z,Opus,c0_neutral,0,0.8181818181818182,0.03636363636363636
Opus_c0_neutral_t0_2026-06-10T07:36:55.620Z,Opus,c0_neutral,0,0.7272727272727273,0.0303030303030303
Opus_c0_neutral_t1_2026-06-10T09:04:44.427Z,Opus,c0_neutral,1,0.8181818181818182,0.018181818181818184
Opus_c0_neutral_t1_2026-06-10T09:06:15.354Z,Opus,c0_neutral,1,0.9090909090909091,0.03636363636363636
Opus_c0_neutral_t1_2026-06-10T09:07:38.301Z,Opus,c0_neutral,1,1.0,0.024242424242424242
Opus_c0_neutral_t1_2026-06-10T09:09:21.829Z,Opus,c0_neutral,1,0.8181818181818182,0.06666666666666667
Opus_c0_neutral_t1_2026-06-10T09:10:43.234Z,Opus,c0_neutral,1,0.9090909090909091,0.06666666666666667
Opus_c0_neutral_t1_2026-06-10T09:12:03.423Z,Opus,c0_neutral,1,0.9090909090909091,0.0787878787878788
Opus_c0_neutral_t1_2026-06-10T09:13:41.417Z,Opus,c0_neutral,1,0.8181818181818182,0.08484848484848485
Opus_c0_neutral_t1_2026-06-10T09:15:15.727Z,Opus,c0_neutral,1,0.8181818181818182,0.08484848484848485
Opus_c0_neutral_t1_2026-06-10T09:16:33.099Z,Opus,c0_neutral,1,0.9090909090909091,0.06666666666666667
Opus_c0_neutral_t1_2026-06-10T09:17:57.204Z,Opus,c0_neutral,1,0.8181818181818182,0.048484848484848485
Opus_c0_neutral_t1_2026-06-10T09:19:21.229Z,Opus,c0_neutral,1,0.8181818181818182,0.06666666666666667
